シーズン,日付,ゲームタイプ,球団,ホーム・ビジター,結果,スコア,対戦球団,R,H,E,ボックススコア,回戦,球場,試合開始,試合時間,入場者,GameID
2025,2025-03-28,公式戦,中日ドラゴンズ,ビジター,L,0,横浜DeNAベイスターズ,0,4,0,"0,0,0,0,0,0,0,0,0",1,横　浜,18:30,02:45,33840,GAME20250328DBCD0003
2025,2025-03-28,公式戦,横浜DeNAベイスターズ,ホーム,W,5,中日ドラゴンズ,5,9,1,"1,1,0,0,1,2,0,0,x",1,横　浜,18:30,02:45,33840,GAME20250328DBCD0003
2025,2025-03-28,公式戦,阪神タイガース,ビジター,W,4,広島東洋カープ,4,8,1,"2,0,0,0,0,0,0,2,0",1,マツダスタジアム,18:01,03:13,32098,GAME20250328HCHT0005
2025,2025-03-28,公式戦,広島東洋カープ,ホーム,L,0,阪神タイガース,0,4,0,"0,0,0,0,0,0,0,0,0",1,マツダスタジアム,18:01,03:13,32098,GAME20250328HCHT0005
2025,2025-03-28,公式戦,東北楽天ゴールデンイーグルス,ビジター,L,2,オリックス・バファローズ,2,5,0,"0,0,0,0,0,0,0,1,1",1,京セラD大阪,18:31,02:36,36079,GAME20250328OBRE0001
2025,2025-03-28,公式戦,オリックス・バファローズ,ホーム,W,3,東北楽天ゴールデンイーグルス,3,9,0,"0,2,0,0,0,0,0,0,1x",1,京セラD大阪,18:31,02:36,36079,GAME20250328OBRE0001
2025,2025-03-28,公式戦,千葉ロッテマリーンズ,ビジター,W,8,福岡ソフトバンクホークス,8,12,1,"0,0,0,0,0,6,1,1,0",1,みずほPayPay,18:30,02:47,39784,GAME20250328SHLM0002
2025,2025-03-28,公式戦,福岡ソフトバンクホークス,ホーム,L,2,千葉ロッテマリーンズ,2,7,1,"0,0,1,0,0,0,0,1,0",1,みずほPayPay,18:30,02:47,39784,GAME20250328SHLM0002
2025,2025-03-28,公式戦,北海道日本ハムファイターズ,ビジター,W,2,埼玉西武ライオンズ,2,6,0,"0,0,0,0,0,0,1,0,1",1,ベルーナドーム,18:01,02:18,27552,GAME20250328SLNF0006
2025,2025-03-28,公式戦,埼玉西武ライオンズ,ホーム,L,0,北海道日本ハムファイターズ,0,6,0,"0,0,0,0,0,0,0,0,0",1,ベルーナドーム,18:01,02:18,27552,GAME20250328SLNF0006
2025,2025-03-28,公式戦,東京ヤクルトスワローズ,ビジター,L,5,読売ジャイアンツ,5,8,0,"0,0,0,0,4,1,0,0,0,0",1,東京ドーム,18:19,03:26,42270,GAME20250328YGYS0004
2025,2025-03-28,公式戦,読売ジャイアンツ,ホーム,W,6,東京ヤクルトスワローズ,6,17,1,"0,0,0,0,0,0,0,2,3,1x",1,東京ドーム,18:19,03:26,42270,GAME20250328YGYS0004
2025,2025-03-29,公式戦,中日ドラゴンズ,ビジター,W,1,横浜DeNAベイスターズ,1,10,2,"0,1,0,0,0,0,0,0,0",2,横　浜,14:30,02:55,33567,GAME20250329DBCD0009
2025,2025-03-29,公式戦,横浜DeNAベイスターズ,ホーム,L,0,中日ドラゴンズ,0,2,0,"0,0,0,0,0,0,0,0,0",2,横　浜,14:30,02:55,33567,GAME20250329DBCD0009
2025,2025-03-29,公式戦,阪神タイガース,ビジター,W,3,広島東洋カープ,3,9,0,"0,0,0,0,1,2,0,0,0",2,マツダスタジアム,14:00,03:05,31726,GAME20250329HCHT0011
2025,2025-03-29,公式戦,広島東洋カープ,ホーム,L,2,阪神タイガース,2,9,0,"0,0,0,1,1,0,0,0,0",2,マツダスタジアム,14:00,03:05,31726,GAME20250329HCHT0011
2025,2025-03-29,公式戦,東北楽天ゴールデンイーグルス,ビジター,W,5,オリックス・バファローズ,5,11,2,"0,0,1,0,0,1,0,0,0,3",2,京セラD大阪,14:01,03:53,32121,GAME20250329OBRE0007
2025,2025-03-29,公式戦,オリックス・バファローズ,ホーム,L,4,東北楽天ゴールデンイーグルス,4,10,0,"0,0,0,0,0,0,1,1,0,2",2,京セラD大阪,14:01,03:53,32121,GAME20250329OBRE0007
2025,2025-03-29,公式戦,千葉ロッテマリーンズ,ビジター,W,5,福岡ソフトバンクホークス,5,8,1,"0,0,0,0,3,1,0,0,0,1",2,みずほPayPay,14:01,03:15,39240,GAME20250329SHLM0008
