date,team,elo
2025-03-27,阪神,1500.0
2025-03-27,DeNA,1500.0
2025-03-27,巨人,1500.0
2025-03-27,中日,1500.0
2025-03-27,広島,1500.0
2025-03-27,ヤクルト,1500.0
2025-03-28,阪神,1511.0039870650708
2025-03-28,DeNA,1500.0
2025-03-28,巨人,1500.0
2025-03-28,中日,1500.0
2025-03-28,広島,1488.9960129349292
2025-03-28,ヤクルト,1500.0
2025-03-28,阪神,1511.0039870650708
2025-03-28,DeNA,1500.0
2025-03-28,巨人,1508.9960129349292
2025-03-28,中日,1500.0
2025-03-28,広島,1488.9960129349292
2025-03-28,ヤクルト,1491.0039870650708
2025-03-28,阪神,1511.0039870650708
2025-03-28,DeNA,1508.9960129349292
2025-03-28,巨人,1508.9960129349292
2025-03-28,中日,1491.0039870650708
2025-03-28,広島,1488.9960129349292
2025-03-28,ヤクルト,1491.0039870650708
2025-03-29,阪神,1521.3777534305775
2025-03-29,DeNA,1508.9960129349292
2025-03-29,巨人,1508.9960129349292
2025-03-29,中日,1491.0039870650708
2025-03-29,広島,1478.6222465694225
2025-03-29,ヤクルト,1491.0039870650708
2025-03-29,阪神,1521.3777534305775
2025-03-29,DeNA,1508.9960129349292
2025-03-29,巨人,1517.4824981429992
2025-03-29,中日,1491.0039870650708
2025-03-29,広島,1478.6222465694225
2025-03-29,ヤクルト,1482.5175018570008
2025-03-29,阪神,1521.3777534305775
2025-03-29,DeNA,1497.4824981429992
2025-03-29,巨人,1517.4824981429992
2025-03-29,中日,1502.5175018570008
2025-03-29,広島,1478.6222465694225
2025-03-29,ヤクルト,1482.5175018570008
2025-03-30,阪神,1511.1545690675487
2025-03-30,DeNA,1497.4824981429992
2025-03-30,巨人,1517.4824981429992
2025-03-30,中日,1502.5175018570008
2025-03-30,広島,1488.8454309324513
2025-03-30,ヤクルト,1482.5175018570008
2025-03-30,阪神,1511.1545690675487
2025-03-30,DeNA,1497.4824981429992
2025-03-30,巨人,1525.4955299012624
2025-03-30,中日,1502.5175018570008
2025-03-30,広島,1488.8454309324513
2025-03-30,ヤクルト,1474.5044700987376
2025-03-30,阪神,1511.1545690675487
2025-03-30,DeNA,1506.6221683246627
2025-03-30,巨人,1525.4955299012624
2025-03-30,中日,1493.3778316753373
2025-03-30,広島,1488.8454309324513
2025-03-30,ヤクルト,1474.5044700987376
2025-04-01,阪神,1500.0216201964413
2025-04-01,DeNA,1517.75511719577
2025-04-01,巨人,1525.4955299012624
2025-04-01,中日,1493.3778316753373
2025-04-01,広島,1488.8454309324513
2025-04-01,ヤクルト,1474.5044700987376
2025-04-01,阪神,1500.0216201964413
2025-04-01,DeNA,1517.75511719577
2025-04-01,巨人,1515.578487311891
2025-04-01,中日,1503.2948742647088
2025-04-01,広島,1488.8454309324513
2025-04-01,ヤクルト,1474.5044700987376
2025-04-02,阪神,1500.0216201964413
2025-04-02,DeNA,1517.75511719577
2025-04-02,巨人,1526.2313873821693
2025-04-02,中日,1492.6419741944305
2025-04-02,広島,1488.8454309324513
2025-04-02,ヤクルト,1474.5044700987376
2025-04-02,阪神,1500.0216201964413
2025-04-02,DeNA,1517.75511719577
2025-04-02,巨人,1526.2313873821693
2025-04-02,中日,1492.6419741944305
2025-04-02,広島,1479.4393460801089
2025-04-02,ヤクルト,1483.91055495108
2025-04-02,阪神,1499.5250590246774
2025-04-02,DeNA,1518.251678367534
2025-04-02,巨人,1526.2313873821693
2025-04-02,中日,1492.6419741944305
2025-04-02,広島,1479.4393460801089
2025-04-02,ヤクルト,1483.91055495108
2025-04-03,阪神,1499.5250590246774
2025-04-03,DeNA,1518.251678367534
2025-04-03,巨人,1536.2719871111722
2025-04-03,中日,1482.6013744654279
2025-04-03,広島,1479.4393460801089
2025-04-03,ヤクルト,1483.91055495108
2025-04-03,阪神,1489.05701570052
2025-04-03,DeNA,1528.7197216916913
2025-04-03,巨人,1536.2719871111722
2025-04-03,中日,1482.6013744654279
2025-04-03,広島,1479.4393460801089
2025-04-03,ヤクルト,1483.91055495108
2025-04-03,阪神,1489.05701570052
2025-04-03,DeNA,1528.7197216916913
2025-04-03,巨人,1536.2719871111722
2025-04-03,中日,1482.6013744654279
2025-04-03,広島,1470.5705562797402
2025-04-03,ヤクルト,1492.7793447514487
2025-04-04,阪神,1489.05701570052
2025-04-04,DeNA,1518.0544193699236
2025-04-04,巨人,1536.2719871111722
2025-04-04,中日,1482.6013744654279
2025-04-04,広島,1481.235858601508
2025-04-04,ヤクルト,1492.7793447514487
2025-04-04,阪神,1501.3801520706284
2025-04-04,DeNA,1518.0544193699236
2025-04-04,巨人,1523.9488507410638
2025-04-04,中日,1482.6013744654279
2025-04-04,広島,1481.235858601508
2025-04-04,ヤクルト,1492.7793447514487
2025-04-04,阪神,1501.3801520706284
2025-04-04,DeNA,1518.0544193699236
