date,game_id,home,away,home_score,away_score,stadium,start_time
2025-03-28,GAME20250328HCHT0005,広島,阪神,0,4,マツダスタジアム,18:01
2025-03-28,GAME20250328YGYS0004,巨人,ヤクルト,6,5,東京ドーム,18:19
2025-03-28,GAME20250328DBCD0003,DeNA,中日,5,0,横　浜,18:30
2025-03-29,GAME20250329HCHT0011,広島,阪神,2,3,マツダスタジアム,14:00
2025-03-29,GAME20250329YGYS0010,巨人,ヤクルト,12,0,東京ドーム,14:00
2025-03-29,GAME20250329DBCD0009,DeNA,中日,0,1,横　浜,14:30
2025-03-30,GAME20250330HCHT0017,広島,阪神,2,0,マツダスタジアム,13:31
2025-03-30,GAME20250330YGYS0016,巨人,ヤクルト,3,0,東京ドーム,14:00
2025-03-30,GAME20250330DBCD0015,DeNA,中日,2,1,横　浜,14:01
2025-04-01,GAME20250401HTDB0021,阪神,DeNA,1,7,京セラD大阪,18:06
2025-04-01,GAME20250401CDYG0019,中日,巨人,3,2,バンテリンドーム,18:15
2025-04-02,GAME20250402CDYG0024,中日,巨人,0,2,バンテリンドーム,18:00
2025-04-02,GAME20250402YSHC0022,ヤクルト,広島,5,4,神　宮,18:00
2025-04-02,GAME20250402HTDB0026,阪神,DeNA,6,6,京セラD大阪,18:01
2025-04-03,GAME20250403CDYG0029,中日,巨人,3,5,バンテリンドーム,18:00
2025-04-03,GAME20250403HTDB0031,阪神,DeNA,2,5,京セラD大阪,18:00
2025-04-03,GAME20250403YSHC0027,ヤクルト,広島,3,0,神　宮,18:00
2025-04-04,GAME20250404HCDB0036,広島,DeNA,8,2,マツダスタジアム,18:00
2025-04-04,GAME20250404YGHT0035,巨人,阪神,2,7,東京ドーム,18:00
2025-04-04,GAME20250404YSCD0033,ヤクルト,中日,1,1,神　宮,18:00
2025-04-05,GAME20250405YGHT0041,巨人,阪神,3,4,東京ドーム,14:00
2025-04-05,GAME20250405YSCD0039,ヤクルト,中日,2,0,神　宮,14:00
2025-04-05,GAME20250405HCDB0042,広島,DeNA,8,7,マツダスタジアム,14:01
2025-04-06,GAME20250406YGHT0047,巨人,阪神,0,1,東京ドーム,13:00
2025-04-06,GAME20250406HCDB0048,広島,DeNA,7,6,マツダスタジアム,13:30
2025-04-06,GAME20250406YSCD0045,ヤクルト,中日,5,6,神　宮,13:30
2025-04-08,GAME20250408CDHC0052,中日,広島,1,1,岐　阜,18:00
2025-04-08,GAME20250408DBYG0051,DeNA,巨人,3,3,横　浜,18:00
2025-04-08,GAME20250408HTYS0054,阪神,ヤクルト,0,1,甲子園,18:03
2025-04-09,GAME20250409CDHC0058,中日,広島,3,1,バンテリンドーム,18:00
2025-04-09,GAME20250409DBYG0057,DeNA,巨人,3,6,横　浜,18:00
2025-04-09,GAME20250409HTYS0060,阪神,ヤクルト,3,5,甲子園,18:01
2025-04-10,GAME20250410CDHC0063,中日,広島,1,2,バンテリンドーム,18:00
2025-04-11,GAME20250411HCYG0066,広島,巨人,12,3,マツダスタジアム,18:00
2025-04-11,GAME20250411HTCD0069,阪神,中日,6,3,甲子園,18:00
2025-04-12,GAME20250412DBYS0070,DeNA,ヤクルト,5,4,横　浜,14:00
2025-04-12,GAME20250412HCYG0072,広島,巨人,1,0,マツダスタジアム,14:00
2025-04-12,GAME20250412HTCD0075,阪神,中日,2,3,甲子園,14:01
2025-04-13,GAME20250413HCYG0076,広島,巨人,5,3,マツダスタジアム,13:30
2025-04-15,GAME20250415HCCD0084,広島,中日,7,1,マツダスタジアム,18:00
2025-04-15,GAME20250415YGDB0083,巨人,DeNA,1,0,東京ドーム,18:01
2025-04-15,GAME20250415YSHT0081,ヤクルト,阪神,1,5,松　山,18:01
2025-04-16,GAME20250416HCCD0089,広島,中日,0,2,マツダスタジアム,18:00
2025-04-16,GAME20250416YGDB0088,巨人,DeNA,5,0,東京ドーム,18:00
2025-04-17,GAME20250417YSHT0092,ヤクルト,阪神,5,7,神　宮,18:00
2025-04-17,GAME20250417YGDB0093,巨人,DeNA,1,9,東京ドーム,18:01
