日付,ゲームタイプ,球団,ホーム・ビジター,スコア,対戦球団,GameID
2026-03-27,公式戦,オリックス,ホーム,0,楽天,NPB20260327BE05
2026-03-27,公式戦,楽天,ビジター,10,オリックス,NPB20260327BE05
2026-03-27,公式戦,DeNA,ホーム,2,ヤクルト,NPB20260327DBYS02
2026-03-27,公式戦,ヤクルト,ビジター,3,DeNA,NPB20260327DBYS02
2026-03-27,公式戦,広島,ホーム,6,中日,NPB20260327HCCD03
2026-03-27,公式戦,中日,ビジター,5,広島,NPB20260327HCCD03
2026-03-27,公式戦,ロッテ,ホーム,3,西武,NPB20260327ML04
2026-03-27,公式戦,西武,ビジター,1,ロッテ,NPB20260327ML04
2026-03-27,公式戦,ソフトバンク,ホーム,6,日本ハム,NPB20260327SHF06
2026-03-27,公式戦,日本ハム,ビジター,5,ソフトバンク,NPB20260327SHF06
2026-03-27,公式戦,巨人,ホーム,3,阪神,NPB20260327YGHT01
2026-03-27,公式戦,阪神,ビジター,1,巨人,NPB20260327YGHT01
2026-03-28,公式戦,オリックス,ホーム,6,楽天,NPB20260328BE05
2026-03-28,公式戦,楽天,ビジター,0,オリックス,NPB20260328BE05
2026-03-28,公式戦,DeNA,ホーム,2,ヤクルト,NPB20260328DBYS02
2026-03-28,公式戦,ヤクルト,ビジター,5,DeNA,NPB20260328DBYS02
2026-03-28,公式戦,広島,ホーム,2,中日,NPB20260328HCCD03
2026-03-28,公式戦,中日,ビジター,1,広島,NPB20260328HCCD03
2026-03-28,公式戦,ロッテ,ホーム,11,西武,NPB20260328ML04
2026-03-28,公式戦,西武,ビジター,0,ロッテ,NPB20260328ML04
2026-03-28,公式戦,ソフトバンク,ホーム,6,日本ハム,NPB20260328SHF06
2026-03-28,公式戦,日本ハム,ビジター,4,ソフトバンク,NPB20260328SHF06
2026-03-28,公式戦,巨人,ホーム,0,阪神,NPB20260328YGHT01
2026-03-28,公式戦,阪神,ビジター,2,巨人,NPB20260328YGHT01
2026-03-29,公式戦,オリックス,ホーム,5,楽天,NPB20260329BE05
2026-03-29,公式戦,楽天,ビジター,4,オリックス,NPB20260329BE05
2026-03-29,公式戦,DeNA,ホーム,3,ヤクルト,NPB20260329DBYS02
2026-03-29,公式戦,ヤクルト,ビジター,5,DeNA,NPB20260329DBYS02
2026-03-29,公式戦,広島,ホーム,1,中日,NPB20260329HCCD03
2026-03-29,公式戦,中日,ビジター,0,広島,NPB20260329HCCD03
2026-03-29,公式戦,ロッテ,ホーム,0,西武,NPB20260329ML04
2026-03-29,公式戦,西武,ビジター,4,ロッテ,NPB20260329ML04
2026-03-29,公式戦,ソフトバンク,ホーム,8,日本ハム,NPB20260329SHF06
2026-03-29,公式戦,日本ハム,ビジター,4,ソフトバンク,NPB20260329SHF06
2026-03-29,公式戦,巨人,ホーム,6,阪神,NPB20260329YGHT01
