date,DeNA,ヤクルト,中日,巨人,広島,阪神
2026-03-26,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
2026-03-27,1487.0,1513.0,1489.0,1511.0,1511.0,1489.0
2026-03-28,1475.0,1525.0,1478.7,1497.3,1521.3,1502.7
2026-03-29,1463.7,1536.3,1469.1,1484.5,1530.9,1515.5
2026-03-31,1454.4,1547.1,1456.7,1497.0,1520.1,1524.8
2026-04-01,1469.7,1547.1,1445.1,1508.5,1520.1,1509.4
2026-04-02,1460.0,1557.2,1458.3,1495.3,1509.9,1519.1
2026-04-03,1474.2,1541.0,1474.5,1481.2,1497.3,1531.8
2026-04-04,1463.4,1549.9,1465.7,1492.0,1485.5,1543.6
2026-04-05,1453.3,1558.1,1457.4,1502.0,1498.6,1530.5
2026-04-07,1464.5,1546.1,1446.3,1490.9,1509.7,1542.5
2026-04-08,1450.9,1559.0,1459.8,1504.5,1496.1,1529.7
2026-04-09,1450.9,1546.9,1459.8,1504.5,1496.1,1541.7
2026-04-10,1450.9,1534.4,1449.7,1517.0,1496.1,1551.9
2026-04-11,1463.5,1546.8,1440.2,1504.6,1483.5,1561.3
2026-04-12,1475.3,1558.3,1431.4,1493.1,1471.8,1570.2
2026-04-14,1467.0,1566.6,1443.8,1508.6,1459.4,1554.7
2026-04-15,1467.0,1566.6,1431.4,1508.6,1471.8,1554.7
2026-04-16,1459.2,1574.4,1431.4,1523.1,1471.8,1540.2
2026-04-17,1472.6,1559.7,1423.9,1537.8,1458.4,1547.7
2026-04-18,1485.1,1570.0,1416.8,1527.5,1445.9,1554.7
2026-04-19,1496.7,1579.6,1410.1,1517.9,1434.3,1561.4
2026-04-21,1509.9,1563.7,1402.6,1525.5,1450.2,1548.1
2026-04-22,1522.3,1572.8,1395.5,1532.6,1441.1,1535.8
2026-04-23,1522.3,1581.3,1395.5,1532.6,1432.6,1535.8
2026-04-24,1533.7,1564.2,1412.6,1521.2,1432.6,1535.8
2026-04-25,1520.3,1548.1,1428.7,1534.6,1436.9,1531.5
2026-04-26,1507.8,1533.0,1443.8,1547.0,1429.0,1539.4
2026-04-28,1494.6,1544.3,1457.0,1530.3,1445.7,1528.1
2026-04-29,1506.2,1530.7,1445.3,1538.5,1437.5,1541.7
2026-04-30,1517.1,1518.2,1434.5,1522.3,1453.8,1554.2
2026-05-01,1506.1,1529.2,1424.1,1536.3,1464.1,1540.2
2026-05-02,1495.9,1539.4,1438.4,1525.4,1449.8,1551.1
2026-05-03,1510.3,1525.0,1438.4,1515.2,1449.8,1561.3
2026-05-04,1519.3,1537.6,1453.6,1502.6,1440.8,1546.1
2026-05-05,1515.7,1525.4,1467.8,1514.9,1444.4,1531.9
2026-05-06,1500.4,1538.0,1457.1,1502.3,1459.7,1542.6
2026-05-08,1514.8,1548.2,1469.7,1489.7,1449.4,1528.2
2026-05-09,1528.2,1557.8,1481.4,1477.9,1439.8,1514.8
2026-05-10,1516.7,1542.8,1468.3,1491.0,1454.9,1526.3
2026-05-12,1526.1,1529.3,1458.9,1500.8,1445.1,1539.8
2026-05-13,1534.9,1540.7,1450.1,1510.0,1435.9,1528.4
2026-05-14,1531.1,1540.7,1453.9,1510.0,1435.9,1528.4
2026-05-15,1519.4,1550.6,1443.9,1521.8,1451.9,1512.4
2026-05-16,1508.4,1536.0,1458.6,1532.7,1442.9,1521.4
2026-05-17,1498.2,1546.3,1448.2,1542.9,1458.5,1505.9
2026-05-19,1485.8,1533.2,1439.1,1556.0,1470.9,1515.0
2026-05-20,1498.3,1533.2,1430.6,1556.0,1458.4,1523.5
2026-05-21,1485.9,1545.0,1430.6,1544.2,1470.8,1523.5
2026-05-22,1485.9,1545.0,1443.1,1530.5,1458.4,1537.2
2026-05-23,1474.9,1555.9,1430.6,1517.8,1470.9,1549.9
2026-05-24,1488.7,1542.1,1419.0,1505.9,1482.4,1561.7
2026-05-26,1476.6,1530.1,1430.7,1492.4,1470.2,1546.3
2026-05-27,1465.4,1531.0,1441.5,1503.8,1458.8,1531.8
2026-05-28,1478.9,1519.8,1451.6,1490.4,1448.2,1518.3
2026-05-29,1471.5,1528.8,1467.0,1504.7,1439.1,1531.9
2026-05-30,1464.6,1537.3,1457.3,1518.0,1430.5,1544.6
2026-05-31,1482.1,1545.2,1448.3,1506.4,1422.5,1532.5
2026-06-02,1465.7,1531.5,1438.2,1518.2,1422.5,1532.5
2026-06-03,1450.4,1542.7,1428.7,1529.1,1436.6,1521.5
2026-06-04,1460.1,1529.2,1419.9,1539.3,1425.8,1511.2
2026-06-05,1474.5,1515.6,1437.1,1550.3,1427.2,1518.7
2026-06-06,1463.9,1502.9,1429.4,1548.6,1440.5,1525.7
2026-06-07,1454.1,1491.1,1422.1,1547.0,1452.9,1525.7
2026-06-09,1446.1,1479.2,1414.6,1554.7,1446.7,1516.0
2026-06-10,1438.7,1468.2,1431.6,1561.8,1440.8,1506.9
2026-06-11,1431.7,1457.9,1423.5,1544.6,1435.3,1498.4
2026-06-12,1423.9,1475.1,1417.1,1536.3,1422.6,1487.5
2026-06-13,1440.5,1467.3,1411.0,1552.4,1434.9,1501.2
2026-06-14,1432.2,1484.0,1429.3,1543.6,1446.2,1490.1
2026-06-16,1432.2,1484.0,1429.3,1543.6,1437.3,1481.7
2026-06-17,1432.2,1484.0,1429.3,1543.6,1437.3,1489.4
2026-06-19,1421.2,1493.5,1445.9,1527.0,1427.9,1500.4
2026-06-20,1421.2,1478.3,1437.6,1535.3,1443.0,1500.4
2026-06-21,1410.9,1464.2,1453.7,1519.2,1457.2,1510.6
2026-06-22,1410.9,1464.2,1453.7,1519.2,1457.2,1510.6
2026-06-23,1401.3,1478.7,1463.3,1530.0,1446.3,1496.1
2026-06-24,1416.4,1478.7,1448.3,1530.0,1446.3,1496.1
2026-06-25,1406.4,1478.7,1458.2,1530.0,1446.3,1496.1
2026-06-26,1406.4,1478.7,1458.2,1530.0,1446.3,1496.1
2026-06-27,1406.4,1478.7,1458.2,1530.0,1459.1,1483.3
2026-06-28,1397.6,1489.0,1447.9,1538.8,1447.0,1495.5
2026-06-30,1386.4,1503.7,1438.5,1524.1,1458.2,1504.9
2026-07-01,1386.4,1493.3,1438.5,1534.5,1458.2,1504.9
2026-07-02,1387.9,1493.3,1453.7,1534.5,1456.7,1489.7
2026-07-03,1404.3,1476.9,1467.5,1520.7,1470.8,1475.6
2026-07-04,1419.7,1461.6,1480.3,1507.8,1470.8,1475.6
2026-07-05,1434.0,1447.2,1468.3,1519.8,1459.9,1486.5
2026-07-07,1446.3,1436.6,1456.1,1529.7,1470.5,1476.6
2026-07-08,1457.6,1426.7,1444.7,1515.0,1480.4,1491.3
