date,game_id,home,away,home_score,away_score,stadium,start_time
2026-03-27,NPB20260327HCCD03,広島,中日,6,5,マツダスタジアム,18:00
2026-03-27,NPB20260327YGHT01,巨人,阪神,3,1,東京ドーム,18:15
2026-03-27,NPB20260327DBYS02,DeNA,ヤクルト,2,3,横 浜,18:30
2026-03-28,NPB20260328DBYS02,DeNA,ヤクルト,2,5,横 浜,14:00
2026-03-28,NPB20260328HCCD03,広島,中日,2,1,マツダスタジアム,14:00
2026-03-28,NPB20260328YGHT01,巨人,阪神,0,2,東京ドーム,14:00
2026-03-29,NPB20260329HCCD03,広島,中日,1,0,マツダスタジアム,13:30
2026-03-29,NPB20260329DBYS02,DeNA,ヤクルト,3,5,横 浜,14:00
2026-03-29,NPB20260329YGHT01,巨人,阪神,6,12,東京ドーム,14:00
2026-03-31,NPB20260331HTDB03,阪神,DeNA,4,1,京セラD大阪,18:00
2026-03-31,NPB20260331YSHC01,ヤクルト,広島,8,3,神 宮,18:00
2026-03-31,NPB20260331CDYG02,中日,巨人,2,5,バンテリンドーム,18:15
2026-04-01,NPB20260401CDYG01,中日,巨人,5,6,バンテリンドーム,18:00
2026-04-01,NPB20260401HTDB02,阪神,DeNA,1,4,京セラD大阪,18:00
2026-04-02,NPB20260402CDYG02,中日,巨人,2,1,バンテリンドーム,18:00
2026-04-02,NPB20260402HTDB03,阪神,DeNA,4,3,京セラD大阪,18:00
2026-04-02,NPB20260402YSHC01,ヤクルト,広島,2,1,神 宮,18:00
2026-04-03,NPB20260403HCHT03,広島,阪神,2,4,マツダスタジアム,18:00
2026-04-03,NPB20260403YGDB01,巨人,DeNA,1,3,東京ドーム,18:00
2026-04-03,NPB20260403YSCD02,ヤクルト,中日,0,1,神 宮,18:00
2026-04-04,NPB20260404HCHT03,広島,阪神,5,7,マツダスタジアム,14:00
2026-04-04,NPB20260404YGDB01,巨人,DeNA,8,4,東京ドーム,14:00
2026-04-04,NPB20260404YSCD02,ヤクルト,中日,11,6,神 宮,14:00
2026-04-05,NPB20260405YSCD02,ヤクルト,中日,7,5,神 宮,13:30
2026-04-05,NPB20260405HCHT03,広島,阪神,2,1,マツダスタジアム,14:00
2026-04-05,NPB20260405YGDB01,巨人,DeNA,3,2,東京ドーム,14:00
2026-04-07,NPB20260407DBCD01,DeNA,中日,5,3,横 浜,18:00
2026-04-07,NPB20260407HCYG03,広島,巨人,5,2,マツダスタジアム,18:00
2026-04-07,NPB20260407HTYS02,阪神,ヤクルト,9,3,甲子園,18:00
2026-04-08,NPB20260408DBCD01,DeNA,中日,4,6,横 浜,18:00
2026-04-08,NPB20260408HCYG03,広島,巨人,1,2,マツダスタジアム,18:00
2026-04-08,NPB20260408HTYS02,阪神,ヤクルト,2,3,甲子園,18:00
2026-04-09,NPB20260409HTYS01,阪神,ヤクルト,2,0,甲子園,18:00
2026-04-10,NPB20260410CDHT02,中日,阪神,3,5,バンテリンドーム,18:00
2026-04-10,NPB20260410YGYS01,巨人,ヤクルト,3,2,東京ドーム,18:00
2026-04-11,NPB20260411CDHT03,中日,阪神,3,9,バンテリンドーム,14:00
2026-04-11,NPB20260411DBHC02,DeNA,広島,4,3,横 浜,14:00
2026-04-11,NPB20260411YGYS01,巨人,ヤクルト,2,3,東京ドーム,18:00
2026-04-12,NPB20260412CDHT03,中日,阪神,0,3,バンテリンドーム,13:30
2026-04-12,NPB20260412DBHC02,DeNA,広島,6,5,横 浜,14:00
2026-04-12,NPB20260412YGYS01,巨人,ヤクルト,0,2,東京ドーム,14:00
2026-04-14,NPB20260414CDHC02,中日,広島,6,2,豊 橋,18:00
2026-04-14,NPB20260414HTYG03,阪神,巨人,3,4,甲子園,18:00
2026-04-14,NPB20260414YSDB01,ヤクルト,DeNA,5,3,松 山,18:00
2026-04-15,NPB20260415CDHC01,中日,広島,2,5,バンテリンドーム,18:00
2026-04-16,NPB20260416HTYG02,阪神,巨人,3,4,甲子園,18:00
2026-04-16,NPB20260416YSDB01,ヤクルト,DeNA,2,0,神 宮,18:00
2026-04-17,NPB20260417HCDB03,広島,DeNA,1,5,マツダスタジアム,18:00
2026-04-17,NPB20260417HTCD02,阪神,中日,2,1,甲子園,18:00
2026-04-17,NPB20260417YSYG01,ヤクルト,巨人,2,8,神 宮,18:00
2026-04-18,NPB20260418HCDB03,広島,DeNA,2,7,マツダスタジアム,14:00
2026-04-18,NPB20260418HTCD02,阪神,中日,4,3,甲子園,14:00
2026-04-18,NPB20260418YSYG01,ヤクルト,巨人,4,3,神 宮,18:00
2026-04-19,NPB20260419HCDB03,広島,DeNA,0,2,マツダスタジアム,13:30
2026-04-19,NPB20260419HTCD02,阪神,中日,7,5,甲子園,14:00
2026-04-19,NPB20260419YSYG01,ヤクルト,巨人,3,1,神 宮,18:00
2026-04-21,NPB20260421DBHT02,DeNA,阪神,16,9,横 浜,17:45
2026-04-21,NPB20260421HCYS03,広島,ヤクルト,2,1,マツダスタジアム,18:00
2026-04-21,NPB20260421YGCD01,巨人,中日,2,1,長 野,18:00
2026-04-22,NPB20260422DBHT02,DeNA,阪神,7,6,横 浜,17:45
2026-04-22,NPB20260422HCYS03,広島,ヤクルト,0,2,マツダスタジアム,18:00
2026-04-22,NPB20260422YGCD01,巨人,中日,5,1,前 橋,18:00
2026-04-23,NPB20260423HCYS01,広島,ヤクルト,0,2,マツダスタジアム,18:00
2026-04-24,NPB20260424CDYS02,中日,ヤクルト,6,4,バンテリンドーム,18:00
2026-04-24,NPB20260424DBYG01,DeNA,巨人,2,1,横 浜,18:00
2026-04-25,NPB20260425CDYS02,中日,ヤクルト,5,2,バンテリンドーム,14:00
2026-04-25,NPB20260425DBYG01,DeNA,巨人,2,7,横 浜,14:00
2026-04-25,NPB20260425HTHC03,阪神,広島,2,2,甲子園,14:00
2026-04-26,NPB20260426CDYS02,中日,ヤクルト,3,0,バンテリンドーム,13:30
2026-04-26,NPB20260426DBYG01,DeNA,巨人,1,4,横 浜,14:00
2026-04-26,NPB20260426HTHC03,阪神,広島,1,0,甲子園,14:00
2026-04-28,NPB20260428CDDB03,中日,DeNA,3,0,バンテリンドーム,18:00
2026-04-28,NPB20260428YGHC01,巨人,広島,1,11,東京ドーム,18:00
2026-04-28,NPB20260428YSHT02,ヤクルト,阪神,10,5,神 宮,18:00
2026-04-29,NPB20260429CDDB03,中日,DeNA,2,4,バンテリンドーム,14:00
2026-04-29,NPB20260429YSHT02,ヤクルト,阪神,0,2,神 宮,14:00
2026-04-29,NPB20260429YGHC01,巨人,広島,4,2,東京ドーム,18:00
2026-04-30,NPB20260430CDDB03,中日,DeNA,2,6,バンテリンドーム,18:00
2026-04-30,NPB20260430YGHC01,巨人,広島,2,3,東京ドーム,18:00
2026-04-30,NPB20260430YSHT02,ヤクルト,阪神,2,10,神 宮,18:00
2026-05-01,NPB20260501HCCD03,広島,中日,7,3,マツダスタジアム,18:00
