date,game_id,home,away,home_score,away_score,home_elo_before,away_elo_before,home_expected_win_rate,home_elo_change,home_elo_after,away_elo_after
2026-03-27,NPB20260327BE05,オリックス,楽天,0,10,1500.0,1500.0,0.5402082283237456,-12.964997479769895,1487.0350025202301,1512.9649974797699
2026-03-27,NPB20260327DBYS02,DeNA,ヤクルト,2,3,1500.0,1500.0,0.5402082283237456,-12.964997479769895,1487.0350025202301,1512.9649974797699
2026-03-27,NPB20260327HCCD03,広島,中日,6,5,1500.0,1500.0,0.5402082283237456,11.035002520230105,1511.0350025202301,1488.9649974797699
2026-03-27,NPB20260327ML04,ロッテ,西武,3,1,1500.0,1500.0,0.5402082283237456,11.035002520230105,1511.0350025202301,1488.9649974797699
2026-03-27,NPB20260327SHF06,ソフトバンク,日本ハム,6,5,1500.0,1500.0,0.5402082283237456,11.035002520230105,1511.0350025202301,1488.9649974797699
2026-03-27,NPB20260327YGHT01,巨人,阪神,3,1,1500.0,1500.0,0.5402082283237456,11.035002520230105,1511.0350025202301,1488.9649974797699
2026-03-28,NPB20260328BE05,オリックス,楽天,6,0,1487.0350025202301,1512.9649974797699,0.5029789414699137,11.92850540472207,1498.9635079249522,1501.0364920750478
2026-03-28,NPB20260328DBYS02,DeNA,ヤクルト,2,5,1487.0350025202301,1512.9649974797699,0.5029789414699137,-12.07149459527793,1474.9635079249522,1525.0364920750478
2026-03-28,NPB20260328HCCD03,広島,中日,2,1,1511.0350025202301,1488.9649974797699,0.5715618018998887,10.282516754402671,1521.3175192746328,1478.6824807253672
2026-03-28,NPB20260328ML04,ロッテ,西武,11,0,1511.0350025202301,1488.9649974797699,0.5715618018998887,10.282516754402671,1521.3175192746328,1478.6824807253672
2026-03-28,NPB20260328SHF06,ソフトバンク,日本ハム,6,4,1511.0350025202301,1488.9649974797699,0.5715618018998887,10.282516754402671,1521.3175192746328,1478.6824807253672
2026-03-28,NPB20260328YGHT01,巨人,阪神,0,2,1511.0350025202301,1488.9649974797699,0.5715618018998887,-13.717483245597329,1497.3175192746328,1502.6824807253672
2026-03-29,NPB20260329BE05,オリックス,楽天,5,4,1498.9635079249522,1501.0364920750478,0.5372428689014977,11.106171146364055,1510.0696790713162,1489.9303209286838
2026-03-29,NPB20260329DBYS02,DeNA,ヤクルト,3,5,1474.9635079249522,1525.0364920750478,0.46827709093958675,-11.238650182550082,1463.724857742402,1536.275142257598
2026-03-29,NPB20260329HCCD03,広島,中日,1,0,1521.3175192746328,1478.6824807253672,0.6002742547646986,9.593417885647233,1530.9109371602801,1469.0890628397199
2026-03-29,NPB20260329ML04,ロッテ,西武,0,4,1521.3175192746328,1478.6824807253672,0.6002742547646986,-14.406582114352767,1506.9109371602801,1493.0890628397199
2026-03-29,NPB20260329SHF06,ソフトバンク,日本ハム,8,4,1521.3175192746328,1478.6824807253672,0.6002742547646986,9.593417885647233,1530.9109371602801,1469.0890628397199
2026-03-29,NPB20260329YGHT01,巨人,阪神,6,12,1497.3175192746328,1502.6824807253672,0.5325284310138879,-12.78068234433331,1484.5368369302994,1515.4631630697006
2026-03-31,NPB20260331CDYG02,中日,巨人,2,5,1469.0890628397199,1484.5368369302994,0.5180562498890082,-12.433349997336197,1456.6557128423838,1496.9701869276355
2026-03-31,NPB20260331ESH05,楽天,ソフトバンク,2,4,1489.9303209286838,1530.9109371602801,0.4813280785954825,-11.55187388629158,1478.3784470423923,1542.4628110465717
2026-03-31,NPB20260331FM04,日本ハム,ロッテ,9,0,1469.0890628397199,1506.9109371602801,0.4858689508057478,12.339145180662051,1481.4282080203818,1494.5717919796182
2026-03-31,NPB20260331HTDB03,阪神,DeNA,4,1,1515.4631630697006,1463.724857742402,0.612779432688116,9.293293615485217,1524.7564566851859,1454.4315641269168
2026-03-31,NPB20260331LB06,西武,オリックス,5,3,1493.0890628397199,1510.0696790713162,0.5158528527571229,11.61953153382905,1504.708594373549,1498.450147537487
2026-03-31,NPB20260331YSHC01,ヤクルト,広島,8,3,1536.275142257598,1530.9109371602801,0.5478678993851468,10.851170414756478,1547.1263126723545,1520.0597667455236
2026-04-01,NPB20260401CDYG01,中日,巨人,5,6,1456.6557128423838,1496.9701869276355,0.48228546467569816,-11.574851152216755,1445.080861690167,1508.5450380798522
2026-04-01,NPB20260401ESH04,楽天,ソフトバンク,1,6,1478.3784470423923,1542.4628110465717,0.4482563403625336,-10.758152168700807,1467.6202948736914,1553.2209632152726
2026-04-01,NPB20260401FM03,日本ハム,ロッテ,2,4,1481.4282080203818,1494.5717919796182,0.5213670801344927,-12.512809923227826,1468.915398097154,1507.084601902846
2026-04-01,NPB20260401HTDB02,阪神,DeNA,1,4,1524.7564566851859,1454.4315641269168,0.6378405115775329,-15.308172277860788,1509.448284407325,1469.7397364047777
2026-04-01,NPB20260401LB05,西武,オリックス,0,4,1504.708594373549,1498.450147537487,0.549142704719684,-13.179424913272415,1491.5291694602765,1511.6295724507595
2026-04-02,NPB20260402CDYG02,中日,巨人,2,1,1445.080861690167,1508.5450380798522,0.4491394657130445,13.220652822886931,1458.301514513054,1495.3243852569653
