date,DeNA,オリックス,ソフトバンク,ヤクルト,ロッテ,中日,巨人,広島,日本ハム,楽天,西武,阪神
2026-03-26,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
2026-03-27,1487.8,1487.8,1511.8,1512.2,1511.8,1488.2,1511.8,1511.8,1488.2,1512.2,1488.2,1488.2
2026-03-28,1475.8,1499.8,1523.4,1524.2,1523.4,1476.6,1499.4,1523.4,1476.6,1500.2,1476.6,1500.6
2026-03-29,1463.9,1511.6,1534.8,1536.1,1510.8,1465.2,1487.2,1534.8,1465.2,1488.4,1489.2,1512.8
2026-03-31,1452.5,1499.6,1546.7,1547.9,1498.7,1453.1,1499.3,1523.1,1477.3,1476.6,1501.1,1524.2
2026-04-01,1465.2,1511.8,1558.4,1547.9,1510.8,1441.2,1511.1,1523.1,1465.2,1464.9,1488.9,1511.5
2026-04-02,1453.8,1523.9,1545.9,1559.5,1498.6,1453.6,1498.8,1511.5,1477.4,1477.4,1476.9,1522.9
2026-04-03,1466.3,1511.7,1533.8,1546.5,1510.8,1466.6,1486.3,1499.3,1489.5,1489.6,1464.6,1535.0
2026-04-04,1454.7,1499.8,1545.8,1557.7,1498.7,1455.4,1497.9,1487.4,1501.5,1501.6,1452.6,1547.0
2026-04-05,1443.2,1488.0,1557.7,1568.7,1486.9,1444.3,1509.4,1499.6,1513.2,1501.5,1452.8,1534.8
2026-04-07,1455.0,1499.8,1544.7,1556.7,1475.1,1432.5,1497.5,1511.5,1501.4,1513.3,1465.8,1546.8
2026-04-08,1442.6,1511.4,1531.9,1568.8,1463.5,1444.9,1509.8,1499.2,1513.7,1501.0,1478.6,1534.7
2026-04-09,1442.6,1522.8,1543.3,1556.7,1452.1,1444.9,1509.8,1499.2,1525.8,1488.9,1467.2,1546.7
2026-04-10,1442.6,1522.8,1543.3,1544.6,1464.4,1433.5,1522.0,1499.2,1525.8,1488.9,1454.9,1558.2
2026-04-11,1454.9,1510.8,1555.3,1556.6,1452.5,1422.2,1509.9,1487.0,1513.7,1501.0,1466.7,1569.4
2026-04-12,1466.9,1498.9,1567.2,1568.5,1440.8,1411.1,1498.1,1474.9,1501.8,1512.8,1478.4,1580.5
