date,game_id,home,away,home_score,away_score
2026-03-27,NPB20260327BE05,オリックス,楽天,0,10
2026-03-27,NPB20260327DBYS02,DeNA,ヤクルト,2,3
2026-03-27,NPB20260327HCCD03,広島,中日,6,5
2026-03-27,NPB20260327ML04,ロッテ,西武,3,1
2026-03-27,NPB20260327SHF06,ソフトバンク,日本ハム,6,5
2026-03-27,NPB20260327YGHT01,巨人,阪神,3,1
2026-03-28,NPB20260328BE05,オリックス,楽天,6,0
2026-03-28,NPB20260328DBYS02,DeNA,ヤクルト,2,5
2026-03-28,NPB20260328HCCD03,広島,中日,2,1
2026-03-28,NPB20260328ML04,ロッテ,西武,11,0
2026-03-28,NPB20260328SHF06,ソフトバンク,日本ハム,6,4
2026-03-28,NPB20260328YGHT01,巨人,阪神,0,2
2026-03-29,NPB20260329BE05,オリックス,楽天,5,4
2026-03-29,NPB20260329DBYS02,DeNA,ヤクルト,3,5
2026-03-29,NPB20260329HCCD03,広島,中日,1,0
2026-03-29,NPB20260329ML04,ロッテ,西武,0,4
2026-03-29,NPB20260329SHF06,ソフトバンク,日本ハム,8,4
2026-03-29,NPB20260329YGHT01,巨人,阪神,6,12
2026-03-31,NPB20260331CDYG02,中日,巨人,2,5
2026-03-31,NPB20260331ESH05,楽天,ソフトバンク,2,4
2026-03-31,NPB20260331FM04,日本ハム,ロッテ,9,0
2026-03-31,NPB20260331HTDB03,阪神,DeNA,4,1
2026-03-31,NPB20260331LB06,西武,オリックス,5,3
2026-03-31,NPB20260331YSHC01,ヤクルト,広島,8,3
2026-04-01,NPB20260401CDYG01,中日,巨人,5,6
2026-04-01,NPB20260401ESH04,楽天,ソフトバンク,1,6
2026-04-01,NPB20260401FM03,日本ハム,ロッテ,2,4
2026-04-01,NPB20260401HTDB02,阪神,DeNA,1,4
2026-04-01,NPB20260401LB05,西武,オリックス,0,4
2026-04-02,NPB20260402CDYG02,中日,巨人,2,1
2026-04-02,NPB20260402ESH05,楽天,ソフトバンク,5,4
