date,DeNA,オリックス,ソフトバンク,ヤクルト,ロッテ,中日,巨人,広島,日本ハム,楽天,西武,阪神
2026-05-26,1469.9,1563.9,1513.6,1579.9,1481.4,1368.5,1506.9,1432.2,1485.7,1408.5,1596.2,1593.4
2026-05-27,1458.4,1575.4,1501.8,1579.8,1493.2,1380.6,1518.8,1420.3,1498.7,1396.4,1596.3,1580.3
2026-05-28,1471.1,1562.8,1514.1,1567.7,1504.9,1392.5,1506.4,1408.7,1511.5,1384.5,1608.4,1567.5
2026-05-29,1460.3,1549.3,1525.1,1578.5,1493.1,1406.0,1518.7,1397.7,1499.2,1373.6,1619.2,1579.3
2026-05-30,1449.7,1560.0,1535.9,1589.2,1481.6,1395.3,1530.7,1386.8,1487.2,1363.0,1629.8,1590.8
2026-05-31,1463.2,1570.6,1546.6,1599.8,1494.2,1384.7,1518.6,1376.1,1499.3,1352.4,1616.2,1578.2
2026-06-02,1450.2,1558.4,1557.6,1586.8,1507.2,1373.7,1530.8,,,1365.5,,
2026-06-03,1437.3,1546.4,1568.5,1598.0,1496.0,1362.9,1542.8,1388.8,1486.6,1378.3,1628.2,1566.3
2026-06-04,1448.7,1534.6,1579.1,1585.0,1508.9,1352.2,1554.6,1377.4,1498.1,1367.0,1639.9,1554.6
2026-06-05,1461.5,1533.6,1566.4,1572.1,1497.5,1366.1,1566.1,1378.3,1510.9,1356.6,1626.0,1565.0
2026-06-06,1450.0,1520.7,1577.8,1559.5,1498.2,1355.8,1565.3,1391.3,1523.6,1346.3,1636.3,1575.2
2026-06-07,1438.8,1507.9,1589.1,1547.0,1498.9,1345.7,1564.6,1404.0,1536.1,,1646.4,
2026-06-09,1427.7,1520.0,1600.8,1534.9,1509.6,1335.0,1575.2,1394.0,1547.1,1335.7,1656.4,1563.5
2026-06-10,1416.8,1531.9,1612.3,1523.0,1496.1,1348.5,1585.6,1384.2,1558.0,1325.3,1666.2,1552.0
2026-06-11,1406.1,1543.6,1623.6,1511.3,1506.8,1337.9,1571.9,1374.5,1568.8,1339.0,1676.0,1540.7
2026-06-12,1395.0,1555.4,1610.6,1524.3,1517.8,1327.8,1560.9,1362.4,1578.8,1351.1,1687.0,1528.9
2026-06-13,1408.1,1543.0,1621.7,1513.2,1504.7,1317.8,1574.1,1374.5,1588.8,1339.0,1673.8,1541.3
2026-06-14,1397.1,1554.8,1608.7,1526.2,1515.7,1332.0,1563.0,1386.5,1574.6,1327.0,1684.9,1529.5
2026-06-16,,,,,,,,1375.7,1585.4,,1695.9,1518.5
2026-06-17,,,,,,,,,,1316.6,,1528.8
