date,オリックス,ソフトバンク,ロッテ,日本ハム,楽天,西武
2026-03-26,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
2026-03-27,1487.8,1511.8,1511.8,1488.2,1512.2,1488.2
2026-03-28,1499.8,1523.5,1523.5,1476.5,1500.2,1476.5
2026-03-29,1511.6,1535.0,1511.0,1465.0,1488.4,1489.0
2026-03-31,1499.6,1546.8,1498.8,1477.2,1476.5,1501.0
2026-04-01,1511.8,1558.5,1510.9,1465.1,1464.8,1488.8
2026-04-02,1523.9,1546.1,1498.8,1477.2,1477.3,1476.8
2026-04-03,1511.7,1534.0,1510.9,1489.4,1489.4,1464.6
2026-04-04,1499.8,1546.0,1498.9,1501.3,1501.5,1452.6
2026-04-05,1488.0,1557.9,1487.0,1513.1,1501.3,1452.7
2026-04-07,1499.8,1545.0,1475.2,1501.2,1513.2,1465.6
2026-04-08,1511.4,1532.3,1463.5,1513.5,1500.9,1478.3
2026-04-09,1522.9,1543.7,1452.0,1525.6,1488.8,1466.9
2026-04-10,1522.9,1543.7,1464.3,1525.6,1488.8,1454.6
2026-04-11,1510.9,1555.8,1452.5,1513.5,1500.9,1466.5
2026-04-12,1499.0,1567.7,1440.7,1501.6,1512.8,1478.2
2026-04-14,1510.7,1555.1,1429.0,1513.4,1525.3,1466.5
2026-04-15,1522.2,1542.7,1441.3,1501.0,1537.7,1455.0
2026-04-16,1533.5,1554.5,1453.6,1488.8,1525.9,1443.6
2026-04-17,1545.9,1542.2,1442.2,1476.3,1537.2,1456.1
2026-04-18,1534.0,1554.0,1431.1,1488.0,1548.4,1444.5
2026-04-19,1546.4,1541.7,1444.0,1475.5,1535.4,1456.9
2026-04-21,1533.9,1529.3,1456.5,1487.7,1523.2,1469.3
2026-04-22,1545.5,1517.1,1444.9,1499.8,1511.2,1481.5
2026-04-23,1545.5,1529.0,1444.9,1487.7,1523.3,1469.6
2026-04-24,1557.0,1529.0,1444.9,1476.3,1523.3,1469.6
2026-04-25,1568.2,1516.3,1457.6,1465.0,1510.7,1482.1
2026-04-26,1579.3,1516.3,1457.6,1453.9,1498.4,1494.5
2026-04-28,1566.7,1528.9,1469.7,1466.3,1486.3,1482.1
2026-04-29,1578.3,1517.3,1481.6,1454.6,1474.4,1493.8
2026-04-30,1578.3,1517.3,1481.6,1467.1,1474.4,1481.3
2026-05-01,1565.7,1528.9,1469.4,1479.6,1462.8,1493.5
2026-05-02,1577.3,1540.2,1457.4,1468.0,1451.5,1505.5
2026-05-03,1564.8,1527.4,1469.6,1480.6,1464.2,1493.4
2026-05-04,1576.0,1515.4,1458.4,1468.7,1476.2,1505.4
2026-05-05,1587.0,1527.5,1447.4,1456.9,1487.9,1493.3
2026-05-06,1597.8,1515.5,1436.5,1469.3,1475.5,1505.4
2026-05-08,1608.8,1526.8,1425.2,1458.3,1463.9,1517.0
2026-05-09,1595.6,1513.9,1438.1,1471.5,1452.5,1528.4
2026-05-10,1582.6,1525.2,1426.8,1484.6,1441.2,1539.7
2026-05-12,1593.8,1513.1,1415.0,1496.4,1429.9,1551.8
2026-05-13,1593.8,1501.2,1403.3,1508.0,1429.9,1563.7
2026-05-14,1580.9,1501.2,1415.9,1495.5,1442.8,1563.7
2026-05-15,1568.0,1489.0,1428.8,1483.8,1455.0,1575.5
2026-05-16,1555.2,1476.9,1441.5,1496.2,1467.1,1563.0
2026-05-17,1542.6,1489.1,1454.1,1484.5,1455.0,1574.8
2026-05-19,1554.1,1477.6,1443.1,1496.1,1443.4,1585.8
2026-05-20,1565.4,1466.3,1456.2,1507.5,1431.9,1572.6
2026-05-21,1565.4,1466.3,1456.2,1507.5,1431.9,1572.6
2026-05-22,1577.6,1478.4,1468.3,1495.4,1419.9,1560.4
2026-05-23,1565.7,1490.3,1480.1,1483.5,1408.0,1572.3
2026-05-24,1553.9,1502.1,1467.8,1471.7,1420.3,1584.1
2026-05-26,1565.6,1514.4,1479.9,1484.8,1408.0,1596.3
2026-05-27,1577.2,1502.5,1491.7,1497.8,1395.9,1596.4
2026-05-28,1564.6,1514.8,1503.4,1510.5,1384.0,1608.5
2026-05-29,1551.2,1525.9,1491.7,1498.3,1373.1,1619.4
2026-05-30,1562.0,1536.9,1480.1,1486.3,1362.3,1630.2
2026-05-31,1572.7,1547.7,1492.7,1498.4,1351.6,1616.7
2026-06-02,1560.5,1558.7,1505.6,1498.4,1364.6,1616.7
2026-06-03,1548.5,1569.7,1494.3,1485.7,1377.3,1628.7
2026-06-04,1536.7,1580.4,1507.2,1497.3,1365.9,1640.5
2026-06-05,1535.8,1567.7,1495.8,1510.1,1355.4,1626.7
2026-06-06,1522.9,1579.2,1496.4,1522.7,1345.0,1637.1
2026-06-07,1510.2,1590.5,1497.1,1535.2,1345.0,1647.4
2026-06-09,1522.2,1602.2,1507.8,1546.3,1334.3,1657.6
