league,league_label,source_date,rank,team,games,wins,losses,draws,win_pct,games_behind
central,セ・リーグ,2026-07-16,1,阪神,82,45,36,1,.556,--
central,セ・リーグ,2026-07-16,2,巨人,83,44,37,2,.543,1.0
central,セ・リーグ,2026-07-16,3,ヤクルト,83,41,41,1,.500,4.5
central,セ・リーグ,2026-07-16,4,DeNA,83,34,46,3,.425,10.5
central,セ・リーグ,2026-07-16,5,広島,80,32,44,4,.421,10.5
central,セ・リーグ,2026-07-16,6,中日,85,33,51,1,.393,13.5
pacific,パ・リーグ,2026-07-16,1,ソフトバンク,84,51,32,1,.614,--
pacific,パ・リーグ,2026-07-16,2,西武,88,49,36,3,.576,3.0
pacific,パ・リーグ,2026-07-16,3,日本ハム,89,49,40,0,.551,5.0
pacific,パ・リーグ,2026-07-16,4,オリックス,85,42,41,2,.506,9.0
pacific,パ・リーグ,2026-07-16,5,ロッテ,82,39,40,3,.494,10.0
pacific,パ・リーグ,2026-07-16,6,楽天,84,34,49,1,.410,17.0
