date,game_type,game_key,home,away,team,home_away,batting_order,position,player_name,source_url,fetched_at,status
2026-06-23,パ・リーグ,2026-06-23_ソフトバンク_オリックス,ソフトバンク,オリックス,オリックス,away,1,左,西川,https://npb.jp/scores/2026/0623/h-b-08/box.html,2026-06-23 21:06:33,available
2026-06-23,パ・リーグ,2026-06-23_ソフトバンク_オリックス,ソフトバンク,オリックス,オリックス,away,2,一,山中,https://npb.jp/scores/2026/0623/h-b-08/box.html,2026-06-23 21:06:33,available
2026-06-23,パ・リーグ,2026-06-23_ソフトバンク_オリックス,ソフトバンク,オリックス,オリックス,away,3,遊,紅林,https://npb.jp/scores/2026/0623/h-b-08/box.html,2026-06-23 21:06:33,available
2026-06-23,パ・リーグ,2026-06-23_ソフトバンク_オリックス,ソフトバンク,オリックス,オリックス,away,4,二,太田,https://npb.jp/scores/2026/0623/h-b-08/box.html,2026-06-23 21:06:33,available
2026-06-23,パ・リーグ,2026-06-23_ソフトバンク_オリックス,ソフトバンク,オリックス,オリックス,away,5,右,中川,https://npb.jp/scores/2026/0623/h-b-08/box.html,2026-06-23 21:06:33,available
2026-06-23,パ・リーグ,2026-06-23_ソフトバンク_オリックス,ソフトバンク,オリックス,オリックス,away,6,中,杉澤,https://npb.jp/scores/2026/0623/h-b-08/box.html,2026-06-23 21:06:33,available
2026-06-23,パ・リーグ,2026-06-23_ソフトバンク_オリックス,ソフトバンク,オリックス,オリックス,away,7,指,西野,https://npb.jp/scores/2026/0623/h-b-08/box.html,2026-06-23 21:06:33,available
2026-06-23,パ・リーグ,2026-06-23_ソフトバンク_オリックス,ソフトバンク,オリックス,オリックス,away,8,三,宗,https://npb.jp/scores/2026/0623/h-b-08/box.html,2026-06-23 21:06:33,available
2026-06-23,パ・リーグ,2026-06-23_ソフトバンク_オリックス,ソフトバンク,オリックス,オリックス,away,9,捕,若月,https://npb.jp/scores/2026/0623/h-b-08/box.html,2026-06-23 21:06:33,available
2026-06-23,パ・リーグ,2026-06-23_ソフトバンク_オリックス,ソフトバンク,オリックス,ソフトバンク,home,1,左,正木,https://npb.jp/scores/2026/0623/h-b-08/box.html,2026-06-23 21:06:33,available
2026-06-23,パ・リーグ,2026-06-23_ソフトバンク_オリックス,ソフトバンク,オリックス,ソフトバンク,home,2,右,柳町,https://npb.jp/scores/2026/0623/h-b-08/box.html,2026-06-23 21:06:33,available
