date,game_type,home,away,stadium,start_time
2026-09-26,セ・リーグ,DeNA,阪神,横 浜,14:00
2026-09-26,パ・リーグ,オリックス,日本ハム,京セラD大阪,14:00
2026-09-26,パ・リーグ,西武,ロッテ,ベルーナドーム,14:00
2026-09-26,パ・リーグ,ソフトバンク,楽天,みずほPayPay,18:00
2026-09-26,セ・リーグ,ヤクルト,中日,神 宮,18:00
2026-09-27,パ・リーグ,ソフトバンク,オリックス,みずほPayPay,14:00
2026-09-27,パ・リーグ,ロッテ,日本ハム,ZOZOマリン,14:00
2026-09-27,セ・リーグ,巨人,ヤクルト,東京ドーム,14:00
2026-09-27,セ・リーグ,DeNA,広島,横 浜,18:00
2026-09-27,パ・リーグ,西武,楽天,ベルーナドーム,18:00
2026-09-28,セ・リーグ,DeNA,広島,横 浜,18:00
2026-09-28,パ・リーグ,ロッテ,日本ハム,ZOZOマリン,18:00
2026-09-28,パ・リーグ,西武,楽天,ベルーナドーム,18:00
2026-09-29,セ・リーグ,巨人,広島,東京ドーム,18:00
2026-09-29,パ・リーグ,楽天,ロッテ,楽天モバイル,18:00
2026-09-29,パ・リーグ,西武,オリックス,ベルーナドーム,18:00
2026-09-29,セ・リーグ,阪神,ヤクルト,甲子園,18:00
2026-09-30,セ・リーグ,DeNA,広島,横 浜,18:00
2026-09-30,パ・リーグ,楽天,ロッテ,楽天モバイル,18:00
2026-09-30,セ・リーグ,阪神,ヤクルト,甲子園,18:00
2026-10-01,パ・リーグ,ロッテ,日本ハム,ZOZOマリン,18:00
2026-10-01,セ・リーグ,広島,中日,マツダスタジアム,18:00
2026-10-01,パ・リーグ,楽天,ソフトバンク,楽天モバイル,18:00
2026-10-01,セ・リーグ,阪神,巨人,甲子園,18:00
2026-10-02,セ・リーグ,ヤクルト,巨人,神 宮,18:00
2026-10-02,パ・リーグ,ロッテ,ソフトバンク,ZOZOマリン,18:00
2026-10-02,セ・リーグ,広島,中日,マツダスタジアム,18:00
2026-10-03,セ・リーグ,ヤクルト,中日,神 宮,14:00
2026-10-03,パ・リーグ,ロッテ,ソフトバンク,ZOZOマリン,18:00
2026-10-03,セ・リーグ,巨人,DeNA,東京ドーム,18:00
2026-10-03,セ・リーグ,広島,阪神,マツダスタジアム,18:00
2026-10-03,パ・リーグ,楽天,オリックス,楽天モバイル,18:00
2026-10-04,セ・リーグ,DeNA,阪神,横 浜,18:00
2026-10-04,セ・リーグ,ヤクルト,広島,神 宮,18:00
2026-10-04,パ・リーグ,ロッテ,楽天,ZOZOマリン,18:00
2026-10-05,パ・リーグ,ロッテ,西武,ZOZOマリン,18:00
2026-10-05,パ・リーグ,楽天,ソフトバンク,楽天モバイル,18:00
2026-10-06,パ・リーグ,ロッテ,西武,ZOZOマリン,18:00
2026-10-06,セ・リーグ,阪神,広島,甲子園,18:00
2026-10-07,セ・リーグ,阪神,広島,甲子園,18:00
